1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
324	-0.001076	264.829672	0.000199	16.0
325	-0.691575	264.456497	0.008292	12.9
326	-0.180784	264.084721	0.003025	16.4
327	-1.161963	263.714335	0.012412	9.6
328	-0.008425	263.345332	0.000630	12.6
329	-1.102670	262.977702	0.018181	13.4
330	-0.340791	262.611438	0.005449	11.3
331	-0.012608	262.246531	0.000572	10.7
332	-1.502564	261.882973	0.010955	14.6
333	-0.012076	261.520756	0.000514	14.6
334	-0.000000	261.159871	0.000000	15.6
335	-1.260372	260.800312	0.007839	13.0
336	-0.926333	260.442070	0.025124	18.7
337	-0.848829	260.085137	0.022566	15.6
338	-1.557518	259.729505	0.027959	38.8
339	-1.527450	259.375167	0.018420	15.2
340	-0.000794	259.022116	0.000171	22.1
341	-1.807477	258.670343	0.015968	18.4
342	-0.000000	258.319841	0.000000	17.5
343	-1.762477	257.970602	0.019452	15.3
344	-0.000000	257.622620	0.000000	12.1
345	-1.768793	257.275887	0.024364	10.0
346	-1.590337	256.930396	0.013810	8.1
347	-1.244389	256.586139	0.013912	10.1
348	-0.006891	256.243109	0.000863	9.4
349	-1.362049	255.901300	0.017136	8.3
350	-1.922807	255.560703	0.023583	10.7
351	-1.169740	255.221313	0.030916	8.6
352	-0.000121	254.883122	0.000028	9.9
353	-0.100614	254.546124	0.004486	13.2
354	-0.965694	254.210311	0.005509	12.5
355	-0.000000	253.875677	0.000000	11.5
356	-0.000003	253.542215	0.000001	9.4
357	-1.167926	253.209918	0.033129	8.8
358	-0.893447	252.878781	0.018379	11.4
359	-0.000000	252.548795	0.000000	10.5
360	-1.169454	252.219956	0.011983	9.4
361	-1.255402	251.892255	0.009457	11.9
362	-0.000000	251.565688	0.000000	15.4
363	-1.163883	251.240247	0.010869	13.0
364	-0.000059	250.915926	0.000014	11.5
365	-0.000000	250.592720	0.000000	7.8
366	-0.000000	250.270621	0.000000	11.2
367	-1.156577	249.949624	0.006388	11.9
368	-0.000000	249.629723	0.000000	8.9
369	-1.224516	249.310911	0.010272	11.1
370	-0.422283	248.993182	0.006873	12.0
371	-0.703659	248.676531	0.026574	10.6
372	-0.004446	248.360952	0.000500	9.9
373	-0.000016	248.046438	0.000004	9.4
374	-1.437283	247.732984	0.013207	9.7
375	-1.697231	247.420584	0.018341	8.5
376	-0.411075	247.109233	0.012397	9.6
377	-0.000000	246.798924	0.000000	9.6
378	-1.789827	246.489652	0.012043	9.1
379	-0.008794	246.181412	0.000335	8.8
380	-0.844339	245.874197	0.023509	8.2
381	-1.893766	245.568002	0.027094	9.1
382	-1.533267	245.262822	0.017541	8.7
383	-0.355743	244.958652	0.005422	9.0
384	-1.173720	244.655485	0.008387	10.7
385	-0.899148	244.353317	0.007009	8.4
386	-0.053788	244.052142	0.003168	10.0
387	-0.034708	243.751955	0.001770	8.8
388	-0.416391	243.452750	0.005695	10.1
389	-0.001369	243.154523	0.000124	9.5
390	-0.684114	242.857268	0.009287	8.8
